# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	59920
#@/user_id	a3f7dcb2-0928-4193-a2ba-17639e20d824
a 	啊	c=69 d=1.27665 t=59808
ji hua 	計劃	c=11 d=1.91212 t=57034
ji hua li mian 	計劃裏面	c=1 d=1 t=24871
ji hui 	機會	c=4 d=1 t=55143
ji huo 	激活	c=1 d=0.0761538 t=59920
ji ji 	積極	c=3 d=1 t=48615
ji jiang 	即將	c=1 d=1 t=23123
ji jin 	基金	c=1 d=3.32181e-06 t=59920
ji ju 	急劇	c=2 d=1 t=48161
ji ju hua 	幾句話	c=3 d=1 t=33543
ji ke 	即可	c=42 d=0.838639 t=59920
ji ke yi 	既可以	c=1 d=1 t=15724
ji lei 	基類	c=2 d=0.000376347 t=59920
ji lei 	積累	c=2 d=1 t=48924
ji lu 	記錄	c=58 d=0.237076 t=59920
ji lu le 	記錄了	c=2 d=1.67045e-07 t=59920
ji lu me 	記錄麼	c=1 d=1 t=25980
ji lu shi yong xin xi 	記錄使用信息	c=1 d=6.0684e-07 t=59920
ji lu zai 	記錄在	c=1 d=1 t=20729
ji lv 	機率	c=12 d=1.00011 t=55016
ji qi 	及其	c=10 d=1.10533 t=45574
ji qi 	機器	c=73 d=0.199513 t=59920
ji quan 	集權	c=3 d=1 t=18968
ji qun 	集羣	c=276 d=4.79371 t=59920
ji qun zhong 	集羣中	c=1 d=1 t=12282
ji qun zu 	集羣組	c=1 d=0.000696112 t=59920
ji ran 	既然	c=1 d=1 t=16223
ji ru 	記入	c=1 d=1 t=43791
ji shang 	機上	c=1 d=1.05123 t=40741
ji shi 	及時	c=10 d=1.00005 t=41372
ji shi 	既是	c=1 d=1 t=49553
ji shi ben 	記事本	c=1 d=1 t=47433
ji shu 	技術	c=3 d=3.26733e-05 t=59920
ji shu 	計數	c=1 d=1.20093e-07 t=59920
ji shu qi 	計數器	c=3 d=1.91393 t=42790
ji shui 	積水	c=1 d=1 t=37430
ji suan 	計算	c=23 d=1.01639 t=59735
ji suan ji 	計算機	c=1 d=1 t=33704
ji tai 	幾臺	c=3 d=1 t=31235
ji ti 	集體	c=1 d=1 t=22984
ji tian 	幾天	c=3 d=1.00026 t=33129
ji tian ban 	幾天班	c=1 d=1 t=28166
ji tian qian 	幾天前	c=1 d=1 t=26228
ji tiao 	幾條	c=4 d=1 t=59661
ji xia 	記下	c=1 d=1 t=42023
ji xian 	極限	c=2 d=1.9802 t=22070
ji xiang 	幾項	c=1 d=1 t=35319
ji xiao 	績效	c=3 d=1 t=59919
ji xie 	機械	c=1 d=1 t=57589
ji xu 	亟需	c=2 d=1.40252 t=33848
ji xu 	繼續	c=47 d=0.0456779 t=59920
ji ya 	擠壓	c=1 d=1.44473e-05 t=59920
ji ya 	積壓	c=1 d=1.48131e-05 t=59920
ji yong 	急用	c=3 d=1 t=45092
ji yu 	基於	c=17 d=1 t=53584
ji zan 	積攢	c=4 d=0.1 t=52923
ji zan le 	積攢了	c=1 d=1 t=52924
ji zhe 	記着	c=1 d=1 t=20035
ji zhi 	機制	c=12 d=1.00012 t=52630
ji zhong 	幾中	c=1 d=1 t=13314
ji zhong 	幾種	c=3 d=4.60939e-07 t=59920
ji zhong 	集中	c=9 d=0.539913 t=59920
ji zhu 	記住	c=1 d=0.1 t=57841
ji zhun 	基準	c=2 d=1.83527 t=33979
ji zu 	幾組	c=1 d=1 t=44585
jia 	假	c=3 d=1 t=49581
jia 	價	c=1 d=1 t=18202
jia 	加	c=35 d=1.49659 t=54057
jia 	家	c=1 d=1 t=4063
jia ban 	加班	c=8 d=1 t=59565
jia da 	加大	c=2 d=1 t=40025
jia dao 	加到	c=3 d=1 t=58334
jia de 	家的	c=1 d=1 t=11072
jia dian 	加點	c=3 d=1 t=55404
jia dian qian 	加點錢	c=1 d=1 t=20384
jia ding 	假定	c=1 d=1 t=48776
jia fen 	加分	c=0 d=0.1 t=38055
jia fen dian 	加分點	c=1 d=1 t=38056
jia ge 	加個	c=4 d=1 t=33010
jia gou 	架構	c=6 d=1 t=59609
jia gou shi 	架構師	c=2 d=1 t=49148
jia gou zu 	架構組	c=7 d=1.00109 t=53870
jia hui lai 	加回來	c=3 d=2.89776 t=51514
jia jin 	加緊	c=1 d=1 t=51462
jia jin 	加進	c=1 d=1 t=58125
jia jin lai 	加進來	c=7 d=1.08511 t=50775
jia jin qu 	加進去	c=4 d=1 t=51463
jia le 	加了	c=10 d=1 t=57916
jia le dian 	加了點	c=1 d=1 t=16506
jia li 	家裏	c=1 d=1 t=24370
jia qi 	假期	c=1 d=1 t=31654
jia qi lai 	加起來	c=1 d=1 t=57164
jia qiang 	加強	c=1 d=1 t=27515
jia ru 	加入	c=17 d=0.000518277 t=59920
jia ru dao 	加入到	c=1 d=1 t=36556
jia ru le 	加入了	c=7 d=1 t=42124
jia shang 	加上	c=22 d=1.31063e-06 t=59920
jia shang le 	加上了	c=1 d=1 t=7997
jia she 	假設	c=9 d=1 t=55524
jia shen 	加深	c=1 d=1 t=16747
jia suo 	加鎖	c=6 d=0.1 t=52756
jia suo jie suo 	加鎖解鎖	c=2 d=1.98511 t=52760
jia tiao 	假條	c=3 d=1 t=49585
jia xiang 	假象	c=2 d=1 t=56202
jia xie 	加些	c=1 d=1 t=54362
jia yi 	加一	c=0 d=8.29241e-05 t=59920
jia yi xia 	加一下	c=1 d=0.000833397 t=59920
jia yi xie 	加一些	c=1 d=1 t=23221
jia you 	加油	c=1 d=1 t=8628
jia zai 	加載	c=113 d=0.120717 t=59920
jia zai gong ju 	加載工具	c=1 d=1 t=16593
jia zai ji 	加載機	c=3 d=1 t=26749
jia zai zu 	加載組	c=1 d=1 t=16652
jia zhang 	家長	c=1 d=1 t=54816
jian 	建	c=4 d=1 t=20228
jian 	見	c=14 d=1.37908 t=57708
jian 	間	c=17 d=1 t=50359
jian ban 	簡版	c=1 d=0.000710174 t=59920
jian biao 	建表	c=8 d=1 t=35498
jian bu qi lai 	建不起來	c=1 d=1 t=7917
jian ce 	檢測	c=20 d=1.16842e-06 t=59920
jian ce dao 	檢測到	c=5 d=9.02962e-06 t=59920
jian cha 	檢查	c=175 d=0.869767 t=59920
jian cha dao 	檢查到	c=3 d=1 t=46747
jian cha le 	檢查了	c=2 d=1 t=56441
jian chi 	堅持	c=1 d=1 t=54426
jian dan 	簡單	c=116 d=0.384188 t=59920
jian dan le 	簡單了	c=1 d=1 t=57070
jian dao 	見到	c=1 d=1 t=21933
jian ge 	間隔	c=10 d=1 t=51429
jian guo 	見過	c=2 d=1.97531 t=37184
jian hua 	簡化	c=9 d=1 t=58309
jian jie 	尷尬	c=1 d=1 t=53566
jian jie 	簡介	c=13 d=1.00255 t=59920
jian jie 	簡潔	c=1 d=1 t=53567
jian jie 	間接	c=1 d=1 t=53551
jian kang 	健康	c=1 d=1 t=54788
jian kong 	監控	c=1 d=1 t=38887
jian ku 	建庫	c=1 d=1 t=35360
jian li 	建立	c=24 d=8.23558e-06 t=59920
jian li lian jie 	建立鏈接	c=1 d=5.84456e-06 t=59920
jian li zai 	建立在	c=1 d=1 t=32525
jian lin 	健林	c=15 d=1.89851 t=58076
jian lin 	建林	c=14 d=1 t=42541
jian mian 	見面	c=1 d=1 t=41473
jian pan 	鍵盤	c=2 d=0.822835 t=59920
jian rong 	兼容	c=3 d=1.09656 t=50959
jian rong xing 	兼容性	c=2 d=1.47237 t=40946
jian shao 	減少	c=20 d=0.667284 t=59920
jian shao le 	減少了	c=3 d=1.00616 t=59157
jian shi 	監視	c=1 d=2.85173e-05 t=59920
jian shu 	簡述	c=1 d=1 t=50022
jian suo 	檢索	c=4 d=1 t=54888
jian ting 	監聽	c=0 d=1.36389e-05 t=59920
jian ting dao 	監聽到	c=1 d=0.000137073 t=59920
jian tou 	箭頭	c=1 d=1 t=36919
jian tu 	簡圖	c=1 d=1 t=35581
jian xiao 	減小	c=1 d=1 t=53476
jian yan 	檢驗	c=1 d=1 t=59347
jian yao 	簡要	c=14 d=0.162838 t=59920
jian yi 	建議	c=159 d=1.23186 t=59920
jian yi guo 	建議過	c=1 d=1 t=44292
jian yi le 	建議了	c=3 d=1.00213 t=53969
jian yi me 	建議麼	c=1 d=1 t=36501
jian yi yi xia 	建議一下	c=1 d=1 t=16561
jian yi zhi 	建議值	c=1 d=1 t=45018
jian yu 	鑑於	c=1 d=1 t=7642
jian zhong 	建忠	c=17 d=1 t=56255
jiang 	將	c=209 d=1.06105 t=59920
jiang 	蔣	c=1 d=3.76411e-06 t=59920
jiang 	講	c=3 d=1 t=53293
jiang de 	講的	c=1 d=1 t=23167
jiang di 	降低	c=14 d=0.0184997 t=59920
jiang hui 	將會	c=5 d=0.114191 t=59920
jiang jie 	講解	c=2 d=1 t=26033
jiang jin 	獎金	c=1 d=1 t=20416
jiang lai 	將來	c=19 d=0.70495 t=59920
jiang qi 	將其	c=13 d=0.000471307 t=59920
jiang xia lai 	降下來	c=1 d=1 t=25315
jiang yao 	將要	c=1 d=1 t=41937
jiang zai 	將在	c=2 d=1 t=59162
jiang zuo 	講座	c=1 d=1 t=16897
jiao 	交	c=3 d=1 t=35706
jiao 	叫	c=8 d=0.1 t=52262
jiao 	焦	c=0 d=0.1 t=12953
jiao 	較	c=2 d=1 t=52266
jiao ban 	攪拌	c=0 d=0.1 t=12955
jiao ben 	腳本	c=61 d=0.27963 t=59920
jiao ben li mian le 	腳本裏面了	c=1 d=1 t=57840
jiao cha 	交叉	c=1 d=1 t=50316
jiao cha 	較差	c=2 d=1 t=59916
jiao chang 	較長	c=1 d=1 t=30561
jiao cheng 	教程	c=1 d=1 t=21308
jiao chu qu 	交出去	c=1 d=1 t=16871
jiao da 	較大	c=9 d=5.27562e-08 t=59920
jiao da zhi 	較大值	c=1 d=5.30206e-07 t=59920
jiao di 	較低	c=1 d=1 t=29534
jiao du 	角度	c=5 d=1 t=43011
jiao duo 	較多	c=3 d=1 t=31896
jiao fu 	交付	c=2 d=1.97531 t=7764
jiao gao 	較高	c=2 d=1 t=59791
jiao gei 	交給	c=6 d=1 t=24049
jiao gei ni 	交給你	c=2 d=1 t=30300
jiao hao 	較好	c=5 d=1.00105 t=44763
jiao hu 	交互	c=5 d=8.51237e-05 t=59920
jiao huan 	交換	c=1 d=0.1 t=47351
jiao huan fen qu 	交換分區	c=2 d=1.9802 t=47356
jiao jie 	焦姐	c=10 d=1.89583 t=59548
jiao kuai 	較快	c=2 d=1 t=43792
jiao kuan 	較寬	c=1 d=1 t=39337
jiao lao 	較老	c=2 d=1 t=57053
jiao liu 	交流	c=3 d=0.484325 t=59920
jiao nan 	較難	c=1 d=1 t=16741
jiao qu 	叫去	c=1 d=1 t=28007
jiao shang 	叫上	c=4 d=1.00039 t=38079
jiao shang wo 	叫上我	c=1 d=1 t=11238
jiao ta 	叫他	c=1 d=1 t=13743
jiao wan zheng 	叫完整	c=1 d=1 t=52263
jiao wei 	較爲	c=3 d=1.00401 t=48434
jiao wo 	叫我	c=5 d=1 t=51473
jiao xiao 	較小	c=4 d=0.1 t=53846
jiao xiao zhi 	較小值	c=2 d=1.0367 t=54508
jiao xue lian 	焦雪蓮	c=1 d=1 t=12954
jiao yan 	校驗	c=24 d=1.92774 t=57878
jiao yan lian 	校驗鏈	c=1 d=1 t=50520
jiao yan zhong 	校驗中	c=1 d=1 t=50583
jiao you 	交由	c=4 d=1 t=41841
jiao zuo 	叫做	c=1 d=1 t=42219
jie 	婕	c=1 d=0.00098783 t=59920
jie 	節	c=2 d=1 t=57117
jie 	藉	c=3 d=1 t=44190
jie 	解	c=1 d=1 t=10956
jie ben 	節本	c=1 d=1 t=5468
jie chu 	接觸	c=0 d=0.1 t=13419
jie chu guo 	接觸過	c=5 d=1 t=50902
jie da 	解答	c=1 d=1 t=32364
jie dian 	節點	c=199 d=0.0664091 t=59920
jie dian jian 	節點間	c=6 d=1.14231 t=50740
jie dian shang 	節點上	c=1 d=1 t=23517
jie dian shu 	節點數	c=5 d=1 t=49858
jie ding 	界定	c=1 d=1 t=21368
jie duan 	階段	c=10 d=1.13601 t=58226
jie duan xia 	階段下	c=1 d=1 t=19902
jie gou 	結構	c=14 d=1.31403e-07 t=59920
jie gou hua 	結構化	c=1 d=1 t=45982
jie guan 	接管	c=1 d=1 t=33616
jie guo 	結果	c=118 d=1.70775 t=59920
jie guo ji 	結果集	c=2 d=1 t=44897
jie guo le 	結果了	c=1 d=0.1 t=44357
jie he 	結合	c=9 d=0.208911 t=59920
jie hu 	截胡	c=1 d=1 t=14631
jie ji 	藉機	c=1 d=1 t=56792
jie jian 	借鑑	c=2 d=1 t=47912
jie jin 	接近	c=7 d=1 t=58189
jie jin yu 	接近於	c=1 d=1 t=38821
jie jue 	解決	c=74 d=0.491466 t=59920
jie jue diao 	解決掉	c=1 d=1 t=6443
jie jue le 	解決了	c=3 d=1 t=58716
jie kou 	接口	c=59 d=0.512092 t=59920
jie kou ceng 	接口層	c=1 d=1 t=8274
jie kou yu 	接口與	c=1 d=1 t=41661
jie lun 	結論	c=6 d=0.557106 t=59920
jie neng 	節能	c=0 d=0.19802 t=20335
jie neng che 	節能車	c=1 d=1 t=20332
jie ru 	接入	c=2 d=1.14464 t=37517
jie ru hou 	接入後	c=1 d=1 t=37510
jie shao 	介紹	c=29 d=0.1028 t=59920
jie shao guo 	介紹過	c=3 d=1 t=35777
jie shao le 	介紹了	c=6 d=1.0005 t=43851
jie shao xia 	介紹下	c=1 d=1 t=30665
jie shao yi xia 	介紹一下	c=2 d=0.0209629 t=59920
jie sheng 	節省	c=3 d=1.92774 t=50434
jie shi 	解釋	c=22 d=0.564027 t=59920
jie shi ba 	解釋吧	c=1 d=1 t=53911
jie shi le 	解釋了	c=2 d=1 t=51194
jie shi qi 	解釋器	c=3 d=2.91813 t=21300
jie shou 	接受	c=9 d=1.00001 t=57113
jie shou 	接收	c=50 d=0.412714 t=59920
jie shou dao 	接受到	c=1 d=7.48518e-05 t=59920
jie shou dao 	接收到	c=9 d=1 t=55177
jie shou duan 	接收端	c=94 d=0.0320349 t=59920
jie shou huan chong 	接收緩衝	c=1 d=1 t=36426
jie shou jie dian 	接收節點	c=1 d=1 t=50581
jie shu 	結束	c=20 d=0.405838 t=59920
jie shu le 	結束了	c=3 d=7.81215e-08 t=59920
jie suo 	解鎖	c=3 d=0.1 t=52756
jie ta 	接他	c=1 d=1 t=41522
jie wan 	解完	c=1 d=1 t=15886
jie wei 	結尾	c=1 d=1 t=35208
jie wo 	藉我	c=3 d=1 t=52871
jie xi 	解析	c=10 d=1 t=58566
jie ya 	解壓	c=3 d=1.82283 t=41027
jie yong 	借用	c=16 d=1.00389 t=57938
jie zhi 	介質	c=1 d=1 t=41947
jin 	僅	c=28 d=0.58867 t=59920
jin 	盡	c=1 d=1 t=44144
jin 	緊	c=2 d=1 t=45535
jin 	近	c=3 d=1 t=58970
jin 	進	c=11 d=0.591555 t=59920
jin bu 	進步	c=2 d=1 t=16954
jin cheng 	進程	c=4 d=1 t=56311
jin cou 	緊湊	c=3 d=1.0118 t=23408
jin du 	進度	c=7 d=0.0186532 t=59920
jin er 	進而	c=3 d=1.00004 t=55557
jin gen 	緊跟	c=0 d=0.1 t=35522
jin gen zhe 	緊跟着	c=1 d=1 t=35523
jin gong 	僅供	c=1 d=1 t=24957
jin guan 	儘管	c=3 d=1 t=50113
jin hui 	僅會	c=1 d=1 t=49982
jin ji 	緊急	c=1 d=1 t=23603
jin jin 	僅僅	c=11 d=1.94176 t=28997
jin kuai 	儘快	c=5 d=1 t=50730
jin lai 	近來	c=4 d=0.00687406 t=59920
jin lai 	進來	c=11 d=1.00259 t=56549
jin liang 	儘量	c=48 d=0.224249 t=59920
jin nian 	今年	c=2 d=1.96079 t=22625
jin qi 	近期	c=4 d=1 t=57479
jin qu 	進去	c=11 d=1.67318 t=59772
jin qu le 	進去了	c=1 d=1 t=33056
jin ru 	進入	c=16 d=1 t=58891
jin shui 	進水	c=1 d=1 t=39462
jin tian 	今天	c=47 d=0.723445 t=59920
jin wan 	今晚	c=1 d=1 t=32436
jin xian yu 	僅限於	c=1 d=1 t=41163
jin xing 	進行	c=145 d=1.15173 t=59920
jin xing guo 	進行過	c=1 d=1 t=29038
jin xing le 	進行了	c=18 d=2.07585 t=59215
jin xing xiu gai 	進行修改	c=1 d=1 t=49185
jin yi bu 	進一步	c=13 d=1.8871 t=52098
jin yong 	禁用	c=13 d=0.0407622 t=59920
jin zai 	僅在	c=7 d=0.59297 t=59920
jin zao 	儘早	c=5 d=1.99005 t=56242
jin zhan 	進展	c=16 d=0.00914087 t=59920
jin zhan me 	進展麼	c=1 d=1 t=36356
jin zhang 	緊張	c=2 d=1 t=56752
jing 	經	c=2 d=1 t=18586
jing chang 	經常	c=4 d=1 t=49490
jing gao 	警告	c=2 d=1.05475 t=45848
jing guo 	經過	c=3 d=2.13937e-06 t=59920
jing jian 	精簡	c=2 d=1.96079 t=5745
jing li 	精力	c=1 d=1 t=39809
jing li 	經理	c=5 d=1.51119 t=54530
jing qiao 	精巧	c=1 d=1 t=40788
jing tai 	靜態	c=16 d=0.90614 t=59920
jing tai bian yi kuang jia 	靜態編譯框架	c=1 d=1 t=59874
jing tai ku 	靜態庫	c=1 d=1 t=56760
jing yan 	經驗	c=3 d=3.59848e-06 t=59920
jing yan zhi 	經驗值	c=4 d=1.00128 t=55693
jing zheng 	競爭	c=1 d=1 t=6850
jiu 	就	c=225 d=0.221358 t=59920
jiu 	舊	c=3 d=1 t=57381
jiu ban 	舊版	c=1 d=1 t=57195
jiu dong 	就懂	c=1 d=1 t=16379
jiu gei 	就給	c=1 d=1 t=59578
jiu guo qu 	就過去	c=1 d=1 t=30037
jiu he 	就和	c=1 d=1 t=3588
jiu hui 	就會	c=5 d=4.76125e-06 t=59920
jiu hui le 	就會了	c=1 d=1 t=30486
jiu jie 	糾結	c=2 d=1.00001 t=34296
jiu jin 	就近	c=1 d=1 t=14833
jiu jing 	究竟	c=2 d=3.24818e-07 t=59920
jiu ke yi 	就可以	c=2 d=1.0153 t=16432
jiu neng 	就能	c=1 d=1 t=8147
jiu pa 	就怕	c=2 d=1.54335 t=20314
jiu shi 	就是	c=50 d=1.70017 t=59920
jiu shi shuo 	就是說	c=1 d=1 t=36706
jiu shi yu 	就是雨	c=1 d=1 t=17605
jiu shu yu 	就屬於	c=1 d=1 t=31756
jiu shuo 	就說	c=1 d=1 t=30049
jiu xiang 	就像	c=1 d=1 t=3589
jiu xing 	就行	c=18 d=1.00003 t=58042
jiu xing le 	就行了	c=4 d=1 t=55695
jiu you 	就有	c=1 d=1 t=11074
jiu zhe me 	就這麼	c=1 d=7.77319e-08 t=59920
ju bing 	句柄	c=6 d=3.45399 t=59161
ju can 	聚餐	c=1 d=1 t=36315
ju ci 	據此	c=1 d=1 t=10474
ju da 	巨大	c=3 d=1.12556 t=29513
ju gao 	居高	c=1 d=1 t=18787
ju ge 	舉個	c=2 d=1 t=51013
ju ji 	聚集	c=3 d=1.9802 t=30117
ju jiao 	聚焦	c=1 d=1 t=51059
ju li 	距離	c=4 d=0.472367 t=59920
ju ran 	居然	c=1 d=1 t=20253
ju shuo 	據說	c=5 d=1 t=41287
ju ti 	具體	c=44 d=1.73821 t=58622
ju wo 	據我	c=1 d=1 t=5382
ju xian xing 	侷限性	c=2 d=5.34152e-06 t=59920
ju you 	具有	c=1 d=1 t=7593
juan 	卷	c=1 d=1 t=22447
jue 	覺	c=8 d=1.07695 t=57658
jue da 	絕大	c=1 d=1 t=59134
jue da duo shu 	絕大多數	c=2 d=1.00209 t=58842
jue de 	覺得	c=30 d=0.481909 t=59920
jue ding 	決定	c=15 d=0.00265869 t=59920
jue dui 	絕對	c=1 d=1 t=43237
jun 	均	c=13 d=2.38237e-07 t=59920
jun jia 	均價	c=1 d=1 t=20319
jun ke 	均可	c=1 d=1 t=54108
jun neng 	均能	c=1 d=1 t=22196
jun wei 	均爲	c=7 d=1 t=58163
jun yi 	均已	c=2 d=1 t=25104
jun zhi 	均值	c=2 d=1.08208 t=54316
ka 	卡	c=1 d=1 t=25569
ka fei 	咖啡	c=1 d=1 t=7149
ka si 	卡死	c=1 d=1 t=10437
ka tong 	卡通	c=1 d=3.29727e-07 t=59920
ka zai 	卡在	c=1 d=1.08825 t=56401
ka zai le 	卡在了	c=1 d=1 t=56377
ka zhu 	卡住	c=15 d=1.00352 t=57776
ka zhu le 	卡住了	c=1 d=1 t=47606
kai 	開	c=7 d=1 t=51811
kai che 	開車	c=1 d=1 t=28588
kai fa 	開發	c=46 d=1.24848 t=57321
kai fa ren yuan 	開發人員	c=2 d=1 t=22994
kai fa zhong xin 	開發中心	c=2 d=1.96561 t=30533
kai fang 	開放	c=1 d=1 t=25880
kai ge 	開個	c=2 d=1 t=15421
kai guan 	開關	c=8 d=1.59452 t=51604
kai hui 	開會	c=2 d=1.00002 t=17054
kai hui qu 	開回去	c=0 d=0.1 t=11239
kai hui qu le 	開回去了	c=2 d=1 t=14877
kai ji 	開機	c=1 d=1 t=21205
kai le 	開了	c=3 d=1 t=21675
kai qi 	開啓	c=11 d=1 t=58241
kai qi le 	開啓了	c=2 d=1 t=47601
kai shi 	開始	c=41 d=1.09351 t=58402
kai shi shi 	開始時	c=1 d=1 t=54705
kai tou 	開頭	c=1 d=1 t=28908
kai xiao 	開銷	c=1 d=1 t=47973
kai yi xia 	開一下	c=1 d=1 t=11873
kai yuan 	開源	c=2 d=1.04176 t=58381
kai yuan ku 	開源庫	c=1 d=1 t=58382
kai zhan 	開展	c=6 d=0.0204618 t=59920
kai zhan le 	開展了	c=1 d=1 t=22938
kai zhen 	開診	c=1 d=0.010358 t=59920
kan 	看	c=74 d=0.0129068 t=59920
kan bu chu 	看不出	c=4 d=1.9802 t=25266
kan bu dong 	看不懂	c=2 d=1 t=35230
kan bu jian 	看不見	c=4 d=1 t=47031
kan bu jian le 	看不見了	c=1 d=1 t=15636
kan chu 	看出	c=6 d=1.00001 t=50041
kan cuo 	看錯	c=1 d=1 t=15831
kan cuo le 	看錯了	c=1 d=1 t=29964
kan dai ma 	看代碼	c=1 d=1 t=13723
kan dao 	看到	c=26 d=0.147972 t=59920
kan dao le 	看到了	c=5 d=1.00001 t=56329
kan de 	看得	c=1 d=1 t=25775
kan dong 	看懂	c=1 d=1 t=45224
kan ge 	看個	c=1 d=1 t=26536
kan jian 	看見	c=12 d=1.45385 t=39223
kan jian le 	看見了	c=2 d=1 t=19834
kan kan 	看看	c=102 d=0.123737 t=59920
kan kuang le 	看狂了	c=1 d=1 t=39276
kan lai 	看來	c=9 d=1 t=58858
kan le 	看了	c=21 d=1 t=59004
kan le kan 	看了看	c=1 d=1 t=35264
kan le yi xia 	看了一下	c=1 d=1 t=41109
kan qi lai 	看起來	c=15 d=1.55052 t=57914
kan shang qu 	看上去	c=1 d=1 t=46332
kan ta 	看他	c=1 d=1 t=39291
kan wan 	看完	c=2 d=1.956 t=10245
kan xia 	看下	c=11 d=1 t=54948
kan yi 	看一	c=2 d=1 t=13388
kan yi xia 	看一下	c=28 d=0.132657 t=59920
kan yi xie 	看一些	c=1 d=1 t=37058
kan yi yan 	看一眼	c=2 d=1 t=20474
kan you 	堪憂	c=1 d=1 t=47104
kan zhe 	看着	c=4 d=1 t=57671
kang lei 	康磊	c=12 d=1 t=36396
kao 	考	c=1 d=1 t=26476
kao 	靠	c=2 d=0.1 t=16549
kao bei 	拷貝	c=8 d=1 t=55700
kao jin 	靠近	c=2 d=1.9802 t=34541
kao lv 	考慮	c=89 d=0.503563 t=59920
kao lv dao 	考慮到	c=1 d=1 t=45431
kao lv guo 	考慮過	c=1 d=1 t=46812
kao ping 	考評	c=1 d=1 t=16958
kao qin 	考勤	c=1 d=0.000934966 t=59920
kao wan 	考完	c=0 d=0.1 t=17376
kao wan le 	考完了	c=1 d=1 t=17377
kao yan 	考驗	c=1 d=1 t=9765
kao yi fen 	考一份	c=1 d=1 t=15374
ke 	可	c=51 d=0.439105 t=59920
ke bian 	可變	c=2 d=1.96561 t=42689
ke cheng 	課程	c=1 d=1 t=39686
ke chuai 	可踹	c=1 d=1 t=8712
ke chuan di 	可傳遞	c=1 d=1 t=40328
ke cong 	可從	c=2 d=0.00086279 t=59920
ke da dao 	可達到	c=1 d=1 t=17177
ke du 	可讀	c=2 d=6.66661e-05 t=59920
ke du xing 	可讀性	c=2 d=1 t=35967
ke fen 	可分	c=1 d=1 t=17791
ke fou 	可否	c=1 d=1 t=10161
ke gong 	可供	c=2 d=1 t=15793
ke guan 	可觀	c=1 d=0.1 t=50103
ke guan 	客觀	c=1 d=1 t=9610
ke guan le 	可觀了	c=1 d=1 t=50104
ke hu 	客戶	c=9 d=1 t=36108
ke hu duan 	客戶端	c=6 d=0.0784731 t=59920
ke jian 	可見	c=4 d=1.55711 t=48265
ke kao 	可靠	c=1 d=1 t=44313
ke kong 	可控	c=1 d=1 t=52580
ke lian 	可憐	c=0 d=0.1 t=29238
ke neng 	可能	c=151 d=1.19904 t=59920
ke neng de hua 	可能的話	c=1 d=1 t=51782
ke neng shi 	可能是	c=4 d=1 t=56003
ke neng xing 	可能性	c=2 d=1 t=37296
ke pei 	可配	c=4 d=1 t=55601
ke pei zhi 	可配置	c=4 d=1.00036 t=57094
ke pei zhi xiang 	可配置項	c=1 d=1 t=55608
ke pu 	科普	c=2 d=1 t=26032
ke qi 	客氣	c=4 d=1 t=42538
ke qu 	可取	c=1 d=1 t=48208
ke shu 	棵樹	c=0 d=0.1 t=49825
ke shuo 	可說	c=1 d=1 t=38597
ke si 	克斯	c=0 d=0.1 t=21329
ke xie 	可寫	c=1 d=1 t=53455
ke xing 	可行	c=8 d=2.8099 t=52721
ke xing xing 	可行性	c=1 d=1 t=59242
ke xuan 	可選	c=6 d=2.13119 t=54894
ke xuan xiang 	可選項	c=1 d=1 t=51645
ke yi 	可以	c=486 d=0.872803 t=59920
ke yi 	可疑	c=5 d=1 t=38170
ke yi de 	可以的	c=1 d=1 t=59543
ke yi guo lai 	可以過來	c=1 d=1 t=39423
ke yi jiang 	可以將	c=1 d=1 t=58464
ke yi jie shou 	可以接受	c=1 d=1 t=8778
ke yi kao lv 	可以考慮	c=3 d=1 t=37760
ke yi le 	可以了	c=13 d=0.00027603 t=59920
ke yi me 	可以麼	c=1 d=1 t=44651
ke yi zhi 	可移植	c=1 d=1 t=42332
ke yong 	可用	c=4 d=0.0374406 t=59920
ke yong yu 	可用於	c=2 d=1 t=39968
ke zai 	可在	c=1 d=1 t=24737
ke zhi xing 	可執行	c=2 d=1 t=26862
ken ding 	肯定	c=5 d=1.00002 t=38713
keng 	坑	c=1 d=1 t=14529
kong 	空	c=9 d=0.10435 t=59920
kong bai 	空白	c=1 d=1 t=37635
kong ge 	空格	c=17 d=1 t=45261
kong jian 	空間	c=27 d=0.425283 t=59920
kong jian da xiao 	空間大小	c=1 d=1 t=49060
kong le 	空了	c=1 d=1 t=14335
kong tiao 	空調	c=0 d=0.1 t=41544
kong tiao le 	空調了	c=1 d=1 t=41545
kong xian 	空閒	c=8 d=4.40657e-07 t=59920
kong zhi 	控制	c=67 d=0.000144073 t=59920
kong zhi guan dao 	控制管道	c=1 d=2.88039e-05 t=59920
kong zhi hao 	控制好	c=1 d=1 t=51984
kong zhi quan 	控制權	c=1 d=3.62526e-05 t=59920
kong zhi zhen 	空指針	c=10 d=1.74082 t=56478
kou 	釦	c=1 d=1 t=20397
kou wei wei 	寇韋韋	c=1 d=1 t=51224
kou yu hua 	口語化	c=2 d=1.8825 t=33791
ku 	庫	c=46 d=1.50589 t=59920
ku biao 	庫表	c=1 d=1 t=42408
ku ming 	庫名	c=10 d=1 t=58679
